ingredient_id,name
808,Whey Peptides
809,Lecithin
810,Cellulose Gum
811,Lactase
812,Vitamin B1 (Thiamine hydrochloride)
813,Vitamin B2 (Riboflavin)
814,Vitamin B3 (Nicotinamide)
815,Vitamin B5 (Pantothenic acid)
816,Vitamin B6 (Pyridoxine hydrochloride)
817,Vitamin H (Biotin)
818,Magnesium (as magnesium carbonate hydrate and magnesium sulfate dihydrate)
819,Zinc (as zinc citrate trihydrate)
820,Iron (from iron amino acid chelate)
821,Vitamin B6 (as pyridoxine from pyridoxine hydrochloride)
822,Betacarotene
823,Certified Organic Spirulina (Arthrospira platensis cell powder)
824,Milk Protein Concentrate
825,Inulin
826,Psyllium Husk
827,Chicory Root Fibre
828,Glucomannan
829,Chromium Picolinate
830,Hydrolyzed Whey Protein Isolate
831,Cocoa Powder (Processed with Alkali)
832,Steviol Glycosides (Stevia)
833,Organic Sprouted & Fermented Golden Pea Protein
834,Organic Sprouted Brown Rice Protein
835,Organic Pea Fibre
836,Organic Acacia Gum
837,Organic Stevia Leaf Extract
838,Bromelain
839,Calcium Caseinate
840,Micellar Casein
841,Egg Albumen
842,Medium Chain Triglycerides Powder
843,Carboxymethyl Cellulose (466)
844,Hydrolysed Bovine Collagen
845,Electrolyte Blend
846,Allura Red
847,Vanilla Cream Pea Protein Isolate
848,Hydrolysed Marine Collagen
849,Natural Vanilla Flavour
850,Thaumatin
851,Lactobacillus Rhamnosus GG
852,Grass-fed Protein Whey
853,Ultra Filtered Whey Protein Isolate (WPI)
854,Ultra Filtered Whey Protein Concentrate (WPC)
855,Natural Flavour (Pure Cocoa)
856,Natural Sweetener
857,Micro-filtered Whey Protein Isolate
858,Micro-filtered Whey Protein Concentrate
859,Casein
860,Peanut Flour
861,Coconut Palm Sugar
862,Organic Coconut Palm Sugar
863,Coconut
864,Papain
865,Rice Flour
866,Tapioca Starch
867,Sodium Ascorbate
868,Energy
869,Fat
870,Carbohydrates
871,Proteins
872,Vitamin E
873,Vitamin B1 (Thiamin)
874,Vitamin B6 (Pyridoxine)
875,Calcium ascorbate dihydrate (Ascorbic Acid)
876,Iron (from Iron II glycinate)
877,Aqua / Water
878,Alcohol Denat
879,Propylene Glycol
880,Amp-acrylates/Allyl Methacrylate Copolymer
881,PVP
882,Talc
883,Phenoxyethanol
884,Disodium EDTA
885,Chlorphenesin
886,Triethanolamine
887,Caseinates
888,Natural Flavours
889,Disodium Phosphate
890,Vitamin B12 (as Methylcobalamin)
891,Magnesium (as Magnesium Chloride)
892,Sodium (as Sodium Phosphate)
893,Potassium (as Dipotassium Phosphate)
894,Micronised Creatine Monohydrate
895,CarnoSyn Beta-Alanine
896,Arginine AKG
897,Natural and Artificial Flavours
898,Calcium Silicate
899,Sodium (as Sodium Citrate)
900,Pyridoxal-5-Phosphate
901,Methylcobalamin
902,Calcium (as Calcium Silicate)
903,Citrulline Malate
904,Conjugated Linoleic Acid (CLA) powder
905,L-Carnitine Tartrate
906,DygloFit (Dichrostachys glomerata) fruit extract
907,Natural & Artificial Flavours
908,Titanium Dioxide
909,Artificial Sweeteners
910,Curcuma longa rhizome ext. dry conc. std. 105.30mg
911,Piper nigrum (Black Pepper) fruit ext. dry conc. std. 1.06mg
912,Magnesium (as heavy magnesium oxide)
913,Passiflora incarnata
914,Soy
915,Sulphites
916,Caffeine
917,Guarana
918,Thiamine Nitrate
919,Nicotinamide
920,Colecalciferol
921,dl-alpha-tocopheryl acetate
922,Natural Fish Oil
923,Vitamin A
924,Vitamin K1
925,Vitamin B1
926,Vitamin B2
927,Vitamin C
928,Chromium
929,L. rhamnosus HN001
930,L. plantarum Lp115
931,L. gasseri Lg-36
932,L. reuteri RC14
933,L. rhamnosus GR-1
934,Cranberry Extract
935,L. rhamnosus Lr-32
936,B. animalis ssp. lactis HN019
937,B. lactis BI-04
938,L. paracasei Lpc-37
939,L. plantarum Lp-115
940,L. casei Lc-11
941,S. thermophilus St-21
942,B. breve Bb-03
943,B. longum BI-05
944,L. plantarum CECT 7527
945,L. plantarum CECT 7528
946,L. plantarum CECT 7529
947,B. infantis Bi-26
948,L. delbrueckii ssp. bulgaricus Lb-87
949,L. reuteri 1E1
950,L. rhamnosus GG
951,B. gasseri Lg-36
952,DL-alpha-tocopheryl acetate (Vitamin E)
953,Thiamine (Vitamin B1)
954,Riboflavin (Vitamin B2)
955,Nicotinamide (Vitamin B3)
956,Pantothenic acid (Vitamin B5)
957,Pyridoxine (Vitamin B6)
958,Bacillus coagulans (MTCC No. 5260) (Unique IS2)
959,Copper (from Copper gluconate)
960,Manganese (from Manganese amino acid chelate)
961,Selenium (from Selenomethionine)
962,Silicon (from Silicon Dioxide)
963,Zinc (from Zinc gluconate)
964,Equisetum arvense dry stem extract
965,Magnesium (from magnesium citrate)
966,Passionflower (Passiflora incarnata extract)
967,Hops (Humulus lupulus extract)
968,Magnesium Carbonate Hydrate
969,Potassium (as Potassium Phosphate - Monobasic)
970,Calcium (as Calcium Carbonate)
971,Zinc (as Zinc Sulfate Monohydrate)
972,Iron (as Ferrous Gluconate Dihydrate)
973,Manganese (as Manganese Sulfate Monohydrate)
974,Thiamine (B1) (as Thiamine Mononitrate)
975,Riboflavine (B2) (Riboflavin Sodium Phosphate)
976,Pantothenic Acid (B5) (as Calcium Pantothenate)
977,Pyridoxine (B6) (as Pyridoxine Hydrochloride)
978,DL-Alpha-Tocopherol (Vitamin E) (as DL-Alpha-Tocopheryl Acetate)
979,Paullinia Cupana (Guarana) Extract
980,Magnesium (from Magnesium Carbonate Hydrate)
981,Zinc (from Zinc Sulfate Monohydrate)
982,Iron (from Ferrous Gluconate Dihydrate)
983,Calcium (from Calcium Carbonate)
984,Passiflora incarnata dry flower extract
985,Allium sativum (Garlic) bulb powder
986,Armoracia rusticana (Horseradish) root ext. dry conc.
987,L. crispatus LBV88
988,Vitamin B1 (Thiamine)
989,Vitamin E (d-alpha-tocopheryl acid succinate)
990,Calcium (from calcium citrate tetrahydrate)
991,Chromium (from chromium picolinate)
992,Iodine (from potassium iodide)
993,Iron (from ferrous fumarate)
994,Magnesium (from heavy magnesium oxide)
995,Potassium (from potassium sulfate)
996,Ginkgo biloba (Ginkgo) ext. dry conc.
997,Rhodiola rosea (Rhodiola) ext. dry conc.
998,Panax quinquefolius (Ginseng) ext. dry conc.
999,Tribulus terrestris (Tribulus) ext. dry conc.
1000,Nicotinic acid
1001,Vitamin A (Retinyl Acetate)
1002,Vitamin K (Phytomenadione)
1003,Lysine (from lysine hydrochloride)
1004,Molybdenum (from molybdenum trioxide)
1005,Zinc (from Zinc Sulfate Monohydrate/Gluconate)
1006,Sambucus nigra (Elderberry)
1007,Turmeric Juice
1008,Ashwagandha
1009,MCT Powder (Milk)
1010,Green Coffee Extract
1011,Probiotic Lactospore (Bacillus Coagulans)
1012,Grapeseed Extract Powder
1013,Amla Fruit Powder
1014,Guduchi Powder
1015,Tartrazine
1016,Sunset Yellow FCF
1017,Brilliant Blue FCF
1018,Yellow Pea Protein
1019,Brown Rice Protein
1020,Faba Bean Protein
1021,Amylase
1022,Protease
1023,Cellulase
1024,Lipase
1025,Butter Milk Powder
1026,Salt (Sodium Chloride)
1027,Hydrolysed Collagen Peptides (Bovine)
1028,Carbon Dioxide
1029,Tartaric Acid
1030,Allura Red (FD&C Red 40)
1031,Tartrazine (FD&C Yellow 5)
1032,Sunset Yellow
1033,Brilliant Blue
1034,Collagen Peptide
1035,Trisodium Citrate
1036,Sodium Benzoate (211)
1037,Tartrazine (102)
1038,Allura Red (129)
1039,Alpha Amylase
1040,Acid Protease
1041,Tapioca Flour
1042,Soy Protein
1043,Thiamine Hydrochloride (Vitamin B1)
1044,Cocoa
1045,TENDOFORTE Collagen Peptides
1046,Prebiotic Corn Fibre
1047,Digestive Enzymes
1048,Marine Collagen Peptides
1049,Jerusalem Artichoke Inulin
1050,Tremella fuciformis
1051,Sea Buckthorn Juice Powder
1052,Niacin (B3)
1053,Chicory Root Prebiotic Fibre (Inulin)
1054,Coconut MCT Oil Powder
1055,Coconut Milk Powder
1056,Raw Cacao Powder
1057,Coconut MCT Oil
1058,Green Banana Resistant Starch Powder
1059,Jerusalem Artichoke Inulin Powder
1060,Partially Hydrolysed Guar Gum
1061,Saccharomyces cerevisiae (Boulardii)
1062,Acacia
1063,Skim Milk Powder
1064,Glucose Syrup Solids
1065,Hydrogenated Vegetable Oil
1066,Modified Starch (1442)
1067,Milk Solids
1068,Milk Protein Powder (Caseinate)
1069,Guarana (Caffeine)
1070,Sodium Polyphosphate
1071,Turmeric
1072,Vegetable Fat Powder
1073,Skim Milk
1074,Fructo-oligosaccharides
1075,Hydrolysed Collagen Peptides
1076,Soy protein isolate
1077,Corn syrup solids
1078,Vegetable gum (415)
1079,Sodium caseinate
1080,Beta-Alanine
1081,N-Acetyl L-Tyrosine
1082,Bitter Orange Extract
1083,Styrene/Acrylates/Ammonium Methacrylate Copolymer
1084,Polyurethane-35
1085,Cera Alba / Beeswax
1086,Synthetic Fluorphlogopite
1087,AQUA/WATER/EAU
1088,STYRENE/ACRYLATES COPOLYMER
1089,LAURETH-21
